Year,Date,Type,Description,LinkURL,LinkText
2025, April 25, album, JNQT: Hosana, https://whitedsepulchrerecords.com/product/jesse-qt-cd, buy
2025, May 23, music video, JNQT: Go Now You Are Dismissed, https://www.youtube.com/watch?v=LcFUg4MRab8, watch
2025, April 15, music video, JNQT: I Believe, https://www.youtube.com/watch?v=a8vUb6o4iUI, watch 
2025, May 6, music video, JNQT: Binding / Illumination, https://www.youtube.com/watch?v=K9zCXheRqWU, watch 
2025, May 23, music video, JNQT: Hosana, https://www.youtube.com/watch?v=FTjCfbc9swgm, watch
2025, June, review, Pop Matters: Jesse Quebbeman-Turley’s Medieval Ambient Is Exquisite, https://www.popmatters.com/jesse-quebbeman-turley-hosana, read
2025, May 23, tshirt, JNQT: limited edition t-shirt, https://jesseqt.bandcamp.com/merch/limited-edition-i-believe-t-shirt, buy
2025, July, album, plu: plu, https://open.spotify.com/album/56vaHe12ggXYgRrFCr2B4G, listen
2025, August, single, Lefty Parker & Buck Meek: Illusions, https://open.spotify.com/album/54ZAUfTvhnOw6JSJJ3aAWP?si=2GtrhZIyQE-n7emo1DixIQ, listen
2025, July, single, Paul Spring: Taste of Forever, https://open.spotify.com/album/1FO8XbMccKJSC7B79oI7pJ, listen
2025, June 17, video, plu: Sack of Water, https://www.youtube.com/watch?v=nLa-gTznaMI&list=RDnLa-gTznaMI&start_radio=1, watch
2025, May 13, single, plu: Shadow Mythic, https://open.spotify.com/track/1t0CUUQFTtdZ93ANVA2IXv?si=169851452e8a4eab, listen 
2025, April 20, music video, Harry The Nightgown: falling down that hill, https://www.youtube.com/watch?v=0q0qRp1KsRo, watch
2025, April 13, album, Working Title.wav: Volume 1, https://open.spotify.com/album/5giOw5pPZIlihBeztpigua, listen
2025, April 1, single, plu: Laziness Studies, https://open.spotify.com/track/4Ohj73frPUzZqjUwERbA4q?si=b5ad1b270138417c, listen
2025, March 1, single, Syndys by Adrian Olsen: JQT, https://syndays.bandcamp.com/track/12-jqt, bandcamp 
2025, April 4, song, Craig Finn (feat. the War on Drugs): I Walk With a Cane, https://open.spotify.com/track/48CWN81YwLXVcrC4U35PZk?si=5fd89264ca88425e, listen
2025, April 4, song, Craig Finn (feat. the War on Drugs): Crumbs, https://open.spotify.com/track/4Ohj73frPUzZqjUwERbA4q?si=b5ad1b270138417c, listen
2024, December 6, album, The Army The Navy: Sugar For Bugs, https://open.spotify.com/album/6ENuJHPuWUCIogsF4rNwaD, listen 
2024, October 11, single, The Army The Navy: 40%, https://open.spotify.com/track/7egc7lTwXiwP284oxZTIN4?si=3fe028b037a94318, listen
2024, September 23, single, Working Title.wav: New Me into Elf Meadow, https://open.spotify.com/album/4SM8zOX8SQg7jirAzMLnUr, listen
2024, September 6, single, The Army The Navy: Little Bug, https://open.spotify.com/track/2GAuyIDWQznZyRU3CGyDFy?si=315c197a8f9c4f42, listen
2024, June 26, signle, Meernaa: Make it Rain, https://open.spotify.com/album/7zSj0ghc8PPHOVahUNPOf3?si=9ZFyD8nDSF-lKetn7QyCHg, listen
2024, May 10, album, Sofia Bolt: Vendredi Minuit, https://open.spotify.com/album/1VSTCssTBBganPt7P7qb3X?si=c6Zf84RFRdKrTFs8EiwIAQ, listen
2024, April 24, single, Shannon Lay: Mirrors, https://open.spotify.com/track/24LCb91hOMNLWdx88YGxAt?si=94d6b944785d4445, listen
2024, February 6, song, Meernaa: A Promise, https://open.spotify.com/track/1sibZ12UhxsG33aQgcXYCp?si=4d610ac98b724fc9, listen
2023, December 8, journal, Blair Johnson and Jesse Quebbeman-Turley: the mouth of the machine the machine in the mouth, https://coljournal.com/the-mouth-of-the-machine-the-machine-in-the-mouth-blair-johnson-and-jesse-quebbeman-turley, journal
2023, November 20, mix, Radiant Archive w/ Luna Lalic + JNQT, https://on.soundcloud.com/Q4KKvgX7Yby29Xru6, mix
